"Site","Date","Time","pH","Dissolved Oxygen","Phosphate","Conductivity","Temperature"
"Ping Tom Park","22 Sep 2018","9:10:00 AM",8.1,6,1,590,22.2
"Kedzie near 31st","22 Sep 2018","9:35:00 AM",8.3,5.5,2,590,20
"Merchandise Mart","22 Sep 2018","9:35:00 AM",8,3,0.8,660,21.1
"North Ave","22 Sep 2018","10:00:00 AM",7.9,8,1,780,21.3
"Eleanor Boat House","22 Sep 2018","10:20:00 AM",8,8,2,560,21.5
"Bridgeport Art Center","22 Sep 2018","10:45:00 AM",7.9,7,0.8,950,21
"Diversey Ave","22 Sep 2018","9:15:00 AM",7.9,6,1.5,660,20
"Diversey Ave","06 Oct 2018","9:15:00 AM",7.2,5,1.5,610,20
"North Ave","06 Oct 2018","9:20:00 AM",7.5,7,2,690,19.2
"Belmont Ave","06 Oct 2018","9:30:00 AM",7.2,6,2,530,20.6
